CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,BONCONTO,,Sinthiang Koundara
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,NDANDE,,Bandegne Ouolof
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,NDANDE,,Diokoul Diawrigne
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,NDANDE,,Kab Gaye
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,NDANDE,,Ndande
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,NDANDE,,Thieppe
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Mbacké Cajor
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Darou Marnane
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Darou Mousty
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Mbadiane
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Ndoyene
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Sam Yabal
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,DAROU MOUSTY,,Touba Mérina
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,SAGATTA,,Ngourane Ouolof
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,SAGATTA,,Thiolom Fall
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,SAGATTA,,Sagatta Gueth
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,SAGATTA,,Kanène Ndiob
SN-LG,LOUGA,KEBEMER ,Kébémer Guéoul,SAGATTA,,Loro
SN-LG,LOUGA,KEBEMER ,BARKEDJI,Barkédji Gassane Thiarny Thiel,,
SN-LG,LOUGA,KEBEMER ,BARKEDJI,SAGATTA,,DJOLOF Boulal
SN-LG,LOUGA,KEBEMER ,BARKEDJI,SAGATTA,,Dealy
SN-LG,LOUGA,KEBEMER ,BARKEDJI,SAGATTA,,Thiamène Passe
SN-LG,LOUGA,KEBEMER ,BARKEDJI,SAGATTA,,Sagatta Djolof
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,DODJI,,Dodji
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,DODJI,,Labgar
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,DODJI,,Ouarkhokh
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,YANG YANG,,Kamb Mbeuleukhé
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,YANG YANG,,Mboula
SN-LG,LOUGA,LINGUERE ,Linguère Dahra,YANG YANG,,Téssékéré Forage
SN-LG,LOUGA,LOUGA,Louga,COKI Coki,,Ndiagne
SN-LG,LOUGA,LOUGA,Louga,COKI Coki,,Thiamène
SN-LG,LOUGA,LOUGA,Louga,COKI Coki,,Pété Ouarack
SN-LG,LOUGA,LOUGA,Louga,KEUR MOMAR SARR,,Keur Momar Sarr Nguer Malal
SN-LG,LOUGA,LOUGA,Louga,KEUR MOMAR SARR,,Syer
SN-LG,LOUGA,LOUGA,Louga,KEUR MOMAR SARR,,Gande
SN-LG,LOUGA,LOUGA,Louga,MBEDIENE,,Mbédiene
SN-LG,LOUGA,LOUGA,Louga,MBEDIENE,,Niomré
SN-LG,LOUGA,LOUGA,Louga,MBEDIENE,,Nguidilé
SN-LG,LOUGA,LOUGA,Louga,MBEDIENE,,Kéle Gueye
SN-LG,LOUGA,LOUGA,Louga,SAKAL,,Léona
SN-LG,LOUGA,LOUGA,Louga,SAKAL,,Ngueune Sarr
SN-LG,LOUGA,LOUGA,Louga,SAKAL,,Sakal
SN-MT,MATAM,KANEL,Kanel Ouaoundé Semmé Dembancané,WOURO SIDY,,Wouro Sidy
SN-MT,MATAM,KANEL,Kanel Ouaoundé Semmé Dembancané,WOURO SIDY,,Ndendory
SN-MT,MATAM,MATAM,Hamady Hounaré Sinthiou Bamambé-Banadji,ORKADIERE,,Aouré
SN-MT,MATAM,MATAM,Hamady Hounaré Sinthiou Bamambé-Banadji,ORKADIERE,,Bokiladji
SN-MT,MATAM,MATAM,Hamady Hounaré Sinthiou Bamambé-Banadji,ORKADIERE,,Orkadiéré
SN-MT,MATAM,MATAM,Matam Ourossogui Thilogne,AGNAM CIVOL,,Dabia
SN-MT,MATAM,MATAM,Matam Ourossogui Thilogne,AGNAM CIVOL,,Des Agnam
SN-MT,MATAM,MATAM,Matam Ourossogui Thilogne,AGNAM CIVOL,,Oréfondé
SN-MT,MATAM,RANEROU FERLO,Matam Ourossogui Thilogne,OGO,,Bokidiawé
SN-MT,MATAM,RANEROU FERLO,Matam Ourossogui Thilogne,OGO,,Nabadji Civol
SN-MT,MATAM,RANEROU FERLO,Matam Ourossogui Thilogne,OGO,,Ogo
SN-MT,MATAM,RANEROU FERLO,Ranérou,VELINGARA,,Lougré Thioly
SN-MT,MATAM,RANEROU FERLO,Ranérou,VELINGARA,,Oudalaye
SN-MT,MATAM,RANEROU FERLO,Ranérou,VELINGARA,,Vélingara
SN-SL,SAINT LOUIS,DAGANA ,Dagana Richard Toll Rosso Diama Gaé,NDIAYE,,Ngnith
